2025-02-24 16:20 [DEBUG] IncreaseProfit Alpha 0.3.4: Starting deep economy check...
2025-02-24 16:20 [DEBUG] Current month (period): 9
2025-02-24 16:20 [DEBUG]   - FillType SILAGE: 0.12
2025-02-24 16:20 [DEBUG]   - FillType WOODCHIPS: 0.32
2025-02-24 16:20 [DEBUG]   - FillType SUGARBEET_CUT: 0.22
2025-02-24 16:20 [DEBUG]   - FillType CHAFF: 0.04
2025-02-24 16:20 [DEBUG]   - FillType DRYGRASS_WINDROW: 0.06
2025-02-24 16:20 [DEBUG]   - FillType STRAW: 0.04
2025-02-24 16:20 [DEBUG]   - FillType FORAGE: 0.12
2025-02-24 16:20 [DEBUG] Station #6 fillTypePrices (after):
2025-02-24 16:20 [DEBUG]   - FillType GRASS_WINDROW: 0.05
2025-02-24 16:20 [DEBUG]   - FillType SILAGE: 0.12
2025-02-24 16:20 [DEBUG]   - FillType WOODCHIPS: 0.32
2025-02-24 16:20 [DEBUG]   - FillType SUGARBEET_CUT: 0.22
2025-02-24 16:20 [DEBUG]   - FillType CHAFF: 0.04
2025-02-24 16:20 [DEBUG]   - FillType DRYGRASS_WINDROW: 0.06
2025-02-24 16:20 [DEBUG]   - FillType STRAW: 0.04
2025-02-24 16:20 [DEBUG]   - FillType FORAGE: 0.12
2025-02-24 16:20 [DEBUG] Station #6 acceptedFillTypes:
2025-02-24 16:20 [DEBUG]   - FillType GRASS_WINDROW: true
2025-02-24 16:20 [DEBUG]   - FillType SILAGE: true
2025-02-24 16:20 [DEBUG]   - FillType WOODCHIPS: true
2025-02-24 16:20 [DEBUG]   - FillType SUGARBEET_CUT: true
2025-02-24 16:20 [DEBUG]   - FillType CHAFF: true
2025-02-24 16:20 [DEBUG]   - FillType DRYGRASS_WINDROW: true
2025-02-24 16:20 [DEBUG]   - FillType STRAW: true
2025-02-24 16:20 [DEBUG]   - FillType FORAGE: true
2025-02-24 16:20 [DEBUG] Selling station #7: table: 0x000001fe20749fb8
2025-02-24 16:20 [DEBUG] Station #7 name/type: Unknown
2025-02-24 16:20 [DEBUG] Station #7 fillTypePrices (before):
2025-02-24 16:20 [DEBUG]   - FillType RICEFLOUR: 0.91
2025-02-24 16:20 [DEBUG]   - FillType PRESERVEDCARROTS: 0.58
2025-02-24 16:20 [DEBUG]   - FillType NAPACABBAGE: 0.35
2025-02-24 16:20 [DEBUG]   - FillType CANOLA_OIL: 1.64
2025-02-24 16:20 [DEBUG]   - FillType EGG: 1.12
2025-02-24 16:20 [DEBUG]   - FillType RAISINS: 1.63
2025-02-24 16:20 [DEBUG]   - FillType OYSTER: 0.87
2025-02-24 16:20 [DEBUG]   - FillType SOUPCANSPARSNIP: 0.88
2025-02-24 16:20 [DEBUG]   - FillType BUFFALOMOZZARELLA: 7.50
2025-02-24 16:20 [DEBUG]   - FillType JARRED_GREENBEAN: 1.89
2025-02-24 16:20 [DEBUG]   - FillType ENOKI: 0.42
2025-02-24 16:20 [DEBUG]   - FillType RICE_BAGS: 1.46
2025-02-24 16:20 [DEBUG]   - FillType SOUPCANSCARROTS: 0.88
2025-02-24 16:20 [DEBUG]   - FillType GARLIC: 0.45
2025-02-24 16:20 [DEBUG]   - FillType RICEROLLS: 1.55
2025-02-24 16:20 [DEBUG]   - FillType STRAWBERRY: 0.45
2025-02-24 16:20 [DEBUG]   - FillType BUFFALOMILK_BOTTLED: 2.49
2025-02-24 16:20 [DEBUG]   - FillType SOUPCANSPOTATO: 1.25
2025-02-24 16:20 [DEBUG]   - FillType SPINACH_BAGS: 0.77
2025-02-24 16:20 [DEBUG]   - FillType PRESERVEDBEETROOT: 0.56
2025-02-24 16:20 [DEBUG]   - FillType RICE_OIL: 1.78
2025-02-24 16:20 [DEBUG]   - FillType RICE_BOXES: 2.73
2025-02-24 16:20 [DEBUG]   - FillType BUTTER: 1.12
2025-02-24 16:20 [DEBUG]   - FillType SUGAR: 0.50
2025-02-24 16:20 [DEBUG]   - FillType CHOCOLATE: 2.00
2025-02-24 16:20 [DEBUG]   - FillType BREAD: 1.65
2025-02-24 16:20 [DEBUG]   - FillType OLIVE_OIL: 2.44
2025-02-24 16:20 [DEBUG]   - FillType FERMENTEDNAPACABBAGE: 0.65
2025-02-24 16:20 [DEBUG]   - FillType MILK_BOTTLED: 0.58
2025-02-24 16:20 [DEBUG]   - FillType POTATOCHIPS: 1.50
2025-02-24 16:20 [DEBUG]   - FillType PRESERVEDPARSNIP: 0.58
2025-02-24 16:20 [DEBUG]   - FillType SOUPCANSMIXED: 0.94
2025-02-24 16:20 [DEBUG]   - FillType HONEY: 1.00
2025-02-24 16:20 [DEBUG]   - FillType FLOUR: 0.69
2025-02-24 16:20 [DEBUG]   - FillType CEREAL: 3.80
2025-02-24 16:20 [DEBUG]   - FillType CHILLI: 0.45
2025-02-24 16:20 [DEBUG]   - FillType SOUPCANSBEETROOT: 0.85
2025-02-24 16:20 [DEBUG]   - FillType SPRING_ONION: 0.45
2025-02-24 16:20 [DEBUG]   - FillType GOATCHEESE: 1.76
2025-02-24 16:20 [DEBUG]   - FillType GRAPE: 0.60
2025-02-24 16:20 [DEBUG]   - FillType CAKE: 3.30
2025-02-24 16:20 [DEBUG]   - FillType LETTUCE: 0.99
2025-02-24 16:20 [DEBUG]   - FillType SUNFLOWER_OIL: 1.78
2025-02-24 16:20 [DEBUG]   - FillType CANNED_PEAS: 2.60
2025-02-24 16:20 [DEBUG]   - FillType GRAPEJUICE: 1.65
2025-02-24 16:20 [DEBUG]   - FillType CHEESE: 1.80
2025-02-24 16:20 [DEBUG]   - FillType TOMATO: 0.50
2025-02-24 16:20 [DEBUG]   - FillType NOODLESOUP: 1.55
2025-02-24 16:20 [DEBUG]   - FillType GOATMILK_BOTTLED: 2.11
2025-02-24 16:20 [DEBUG] Station #7 fillTypePrices (after):
2025-02-24 16:20 [DEBUG]   - FillType RICEFLOUR: 0.91
2025-02-24 16:20 [DEBUG]   - FillType PRESERVEDCARROTS: 0.58
2025-02-24 16:20 [DEBUG]   - FillType NAPACABBAGE: 0.35
2025-02-24 16:20 [DEBUG]   - FillType CANOLA_OIL: 1.64
2025-02-24 16:20 [DEBUG]   - FillType EGG: 1.12
2025-02-24 16:20 [DEBUG]   - FillType RAISINS: 1.63
2025-02-24 16:20 [DEBUG]   - FillType OYSTER: 0.87
2025-02-24 16:20 [DEBUG]   - FillType SOUPCANSPARSNIP: 0.88
2025-02-24 16:20 [DEBUG]   - FillType BUFFALOMOZZARELLA: 7.50
2025-02-24 16:20 [DEBUG]   - FillType JARRED_GREENBEAN: 1.89
2025-02-24 16:20 [DEBUG]   - FillType ENOKI: 0.42
2025-02-24 16:20 [DEBUG]   - FillType RICE_BAGS: 1.46
2025-02-24 16:20 [DEBUG]   - FillType SOUPCANSCARROTS: 0.88
2025-02-24 16:20 [DEBUG]   - FillType GARLIC: 0.45
2025-02-24 16:20 [DEBUG]   - FillType RICEROLLS: 1.55
2025-02-24 16:20 [DEBUG]   - FillType STRAWBERRY: 0.45
2025-02-24 16:20 [DEBUG]   - FillType BUFFALOMILK_BOTTLED: 2.49
2025-02-24 16:20 [DEBUG]   - FillType SOUPCANSPOTATO: 1.25
2025-02-24 16:20 [DEBUG]   - FillType SPINACH_BAGS: 0.77
2025-02-24 16:20 [DEBUG]   - FillType PRESERVEDBEETROOT: 0.56
2025-02-24 16:20 [DEBUG]   - FillType RICE_OIL: 1.78
2025-02-24 16:20 [DEBUG]   - FillType RICE_BOXES: 2.73
2025-02-24 16:20 [DEBUG]   - FillType BUTTER: 1.12
2025-02-24 16:20 [DEBUG]   - FillType SUGAR: 0.50
2025-02-24 16:20 [DEBUG]   - FillType CHOCOLATE: 2.00
2025-02-24 16:20 [DEBUG]   - FillType BREAD: 1.65
2025-02-24 16:20 [DEBUG]   - FillType OLIVE_OIL: 2.44
2025-02-24 16:20 [DEBUG]   - FillType FERMENTEDNAPACABBAGE: 0.65
2025-02-24 16:20 [DEBUG]   - FillType MILK_BOTTLED: 0.58
2025-02-24 16:20 [DEBUG]   - FillType POTATOCHIPS: 1.50
2025-02-24 16:20 [DEBUG]   - FillType PRESERVEDPARSNIP: 0.58
2025-02-24 16:20 [DEBUG]   - FillType SOUPCANSMIXED: 0.94
2025-02-24 16:20 [DEBUG]   - FillType HONEY: 1.00
2025-02-24 16:20 [DEBUG]   - FillType FLOUR: 0.69
2025-02-24 16:20 [DEBUG]   - FillType CEREAL: 3.80
2025-02-24 16:20 [DEBUG]   - FillType CHILLI: 0.45
2025-02-24 16:20 [DEBUG]   - FillType SOUPCANSBEETROOT: 0.85
2025-02-24 16:20 [DEBUG]   - FillType SPRING_ONION: 0.45
2025-02-24 16:20 [DEBUG]   - FillType GOATCHEESE: 1.76
2025-02-24 16:20 [DEBUG]   - FillType GRAPE: 0.60
2025-02-24 16:20 [DEBUG]   - FillType CAKE: 3.30
2025-02-24 16:20 [DEBUG]   - FillType LETTUCE: 0.99
2025-02-24 16:20 [DEBUG]   - FillType SUNFLOWER_OIL: 1.78
2025-02-24 16:20 [DEBUG]   - FillType CANNED_PEAS: 2.60
2025-02-24 16:20 [DEBUG]   - FillType GRAPEJUICE: 1.65
2025-02-24 16:20 [DEBUG]   - FillType CHEESE: 1.80
2025-02-24 16:20 [DEBUG]   - FillType TOMATO: 0.50
2025-02-24 16:20 [DEBUG]   - FillType NOODLESOUP: 1.55
2025-02-24 16:20 [DEBUG]   - FillType GOATMILK_BOTTLED: 2.11
2025-02-24 16:20 [DEBUG] Station #7 acceptedFillTypes:
2025-02-24 16:20 [DEBUG]   - FillType RICEFLOUR: true
2025-02-24 16:20 [DEBUG]   - FillType PRESERVEDCARROTS: true
2025-02-24 16:20 [DEBUG]   - FillType NAPACABBAGE: true
2025-02-24 16:20 [DEBUG]   - FillType CANOLA_OIL: true
2025-02-24 16:20 [DEBUG]   - FillType EGG: true
2025-02-24 16:20 [DEBUG]   - FillType RAISINS: true
2025-02-24 16:20 [DEBUG]   - FillType OYSTER: true
2025-02-24 16:20 [DEBUG]   - FillType SOUPCANSPARSNIP: true
2025-02-24 16:20 [DEBUG]   - FillType BUFFALOMOZZARELLA: true
2025-02-24 16:20 [DEBUG]   - FillType JARRED_GREENBEAN: true
2025-02-24 16:20 [DEBUG]   - FillType ENOKI: true
2025-02-24 16:20 [DEBUG]   - FillType RICE_BAGS: true
2025-02-24 16:20 [DEBUG]   - FillType SOUPCANSCARROTS: true
2025-02-24 16:20 [DEBUG]   - FillType GARLIC: true
2025-02-24 16:20 [DEBUG]   - FillType RICEROLLS: true
2025-02-24 16:20 [DEBUG]   - FillType STRAWBERRY: true
2025-02-24 16:20 [DEBUG]   - FillType BUFFALOMILK_BOTTLED: true
2025-02-24 16:20 [DEBUG]   - FillType SOUPCANSPOTATO: true
2025-02-24 16:20 [DEBUG]   - FillType SPINACH_BAGS: true
2025-02-24 16:20 [DEBUG]   - FillType PRESERVEDBEETROOT: true
2025-02-24 16:20 [DEBUG]   - FillType RICE_OIL: true
2025-02-24 16:20 [DEBUG]   - FillType RICE_BOXES: true
2025-02-24 16:20 [DEBUG]   - FillType BUTTER: true
2025-02-24 16:20 [DEBUG]   - FillType SUGAR: true
2025-02-24 16:20 [DEBUG]   - FillType CHOCOLATE: true
2025-02-24 16:20 [DEBUG]   - FillType BREAD: true
2025-02-24 16:20 [DEBUG]   - FillType OLIVE_OIL: true
2025-02-24 16:20 [DEBUG]   - FillType FERMENTEDNAPACABBAGE: true
2025-02-24 16:20 [DEBUG]   - FillType MILK_BOTTLED: true
2025-02-24 16:20 [DEBUG]   - FillType POTATOCHIPS: true
2025-02-24 16:20 [DEBUG]   - FillType PRESERVEDPARSNIP: true
2025-02-24 16:20 [DEBUG]   - FillType SOUPCANSMIXED: true
2025-02-24 16:20 [DEBUG]   - FillType HONEY: true
2025-02-24 16:20 [DEBUG]   - FillType FLOUR: true
2025-02-24 16:20 [DEBUG]   - FillType CEREAL: true
2025-02-24 16:20 [DEBUG]   - FillType CHILLI: true
2025-02-24 16:20 [DEBUG]   - FillType SOUPCANSBEETROOT: true
2025-02-24 16:20 [DEBUG]   - FillType SPRING_ONION: true
2025-02-24 16:20 [DEBUG]   - FillType GOATCHEESE: true
2025-02-24 16:20 [DEBUG]   - FillType GRAPE: true
2025-02-24 16:20 [DEBUG]   - FillType CAKE: true
2025-02-24 16:20 [DEBUG]   - FillType LETTUCE: true
2025-02-24 16:20 [DEBUG]   - FillType SUNFLOWER_OIL: true
2025-02-24 16:20 [DEBUG]   - FillType CANNED_PEAS: true
2025-02-24 16:20 [DEBUG]   - FillType GRAPEJUICE: true
2025-02-24 16:20 [DEBUG]   - FillType CHEESE: true
2025-02-24 16:20 [DEBUG]   - FillType TOMATO: true
2025-02-24 16:20 [DEBUG]   - FillType NOODLESOUP: true
2025-02-24 16:20 [DEBUG]   - FillType GOATMILK_BOTTLED: true
2025-02-24 16:20 [DEBUG] Selling station #8: table: 0x000001fe233f3108
2025-02-24 16:20 [DEBUG] Station #8 name/type: Unknown
2025-02-24 16:20 [DEBUG] Station #8 fillTypePrices (before):
2025-02-24 16:20 [DEBUG]   - FillType CEMENT: 1.05
2025-02-24 16:20 [DEBUG]   - FillType WOODBEAM: 2.91
2025-02-24 16:20 [DEBUG]   - FillType PLANKS: 1.94
2025-02-24 16:20 [DEBUG]   - FillType BOARDS: 1.30
2025-02-24 16:20 [DEBUG] Station #8 fillTypePrices (after):
2025-02-24 16:20 [DEBUG]   - FillType CEMENT: 1.05
2025-02-24 16:20 [DEBUG]   - FillType WOODBEAM: 2.91
2025-02-24 16:20 [DEBUG]   - FillType PLANKS: 1.94
2025-02-24 16:20 [DEBUG]   - FillType BOARDS: 1.30
2025-02-24 16:20 [DEBUG] Station #8 acceptedFillTypes:
2025-02-24 16:20 [DEBUG]   - FillType CEMENT: true
2025-02-24 16:20 [DEBUG]   - FillType WOODBEAM: true
2025-02-24 16:20 [DEBUG]   - FillType PLANKS: true
2025-02-24 16:20 [DEBUG]   - FillType BOARDS: true
2025-02-24 16:20 [DEBUG] Selling station #9: table: 0x000001fe236e76c8
2025-02-24 16:20 [DEBUG] Station #9 name/type: Unknown
2025-02-24 16:20 [DEBUG] Station #9 fillTypePrices (before):
2025-02-24 16:20 [DEBUG]   - FillType CEMENT: 1.05
2025-02-24 16:20 [DEBUG]   - FillType WOODBEAM: 2.91
2025-02-24 16:20 [DEBUG]   - FillType PLANKS: 1.94
2025-02-24 16:20 [DEBUG]   - FillType BOARDS: 1.30
2025-02-24 16:20 [DEBUG] Station #9 fillTypePrices (after):
2025-02-24 16:20 [DEBUG]   - FillType CEMENT: 1.05
2025-02-24 16:20 [DEBUG]   - FillType WOODBEAM: 2.91
2025-02-24 16:20 [DEBUG]   - FillType PLANKS: 1.94
2025-02-24 16:20 [DEBUG]   - FillType BOARDS: 1.30
2025-02-24 16:20 [DEBUG] Station #9 acceptedFillTypes:
2025-02-24 16:20 [DEBUG]   - FillType CEMENT: true
2025-02-24 16:20 [DEBUG]   - FillType WOODBEAM: true
2025-02-24 16:20 [DEBUG]   - FillType PLANKS: true
2025-02-24 16:20 [DEBUG]   - FillType BOARDS: true
2025-02-24 16:20 [DEBUG] Selling station #10: table: 0x000001fe232f1ad8
2025-02-24 16:20 [DEBUG] Station #10 name/type: Unknown
2025-02-24 16:20 [DEBUG] Station #10 fillTypePrices (before):
2025-02-24 16:20 [DEBUG]   - FillType CEMENT: 1.05
2025-02-24 16:20 [DEBUG]   - FillType WOODBEAM: 2.91
2025-02-24 16:20 [DEBUG]   - FillType PLANKS: 1.94
2025-02-24 16:20 [DEBUG]   - FillType BOARDS: 1.30
2025-02-24 16:20 [DEBUG] Station #10 fillTypePrices (after):
2025-02-24 16:20 [DEBUG]   - FillType CEMENT: 1.05
2025-02-24 16:20 [DEBUG]   - FillType WOODBEAM: 2.91
2025-02-24 16:20 [DEBUG]   - FillType PLANKS: 1.94
2025-02-24 16:20 [DEBUG]   - FillType BOARDS: 1.30
2025-02-24 16:20 [DEBUG] Station #10 acceptedFillTypes:
2025-02-24 16:20 [DEBUG]   - FillType CEMENT: true
2025-02-24 16:20 [DEBUG]   - FillType WOODBEAM: true
2025-02-24 16:20 [DEBUG]   - FillType PLANKS: true
2025-02-24 16:20 [DEBUG]   - FillType BOARDS: true
2025-02-24 16:20 [DEBUG] Selling station #11: table: 0x000001fdf2de9c88
2025-02-24 16:20 [DEBUG] Station #11 name/type: Unknown
2025-02-24 16:20 [DEBUG] Station #11 fillTypePrices (before):
2025-02-24 16:20 [DEBUG]   - FillType WATER: 0.10
2025-02-24 16:20 [DEBUG] Station #11 fillTypePrices (after):
2025-02-24 16:20 [DEBUG]   - FillType WATER: 0.10
2025-02-24 16:20 [DEBUG] Station #11 acceptedFillTypes:
2025-02-24 16:20 [DEBUG]   - FillType WATER: true
2025-02-24 16:20 [DEBUG] Selling station #12: table: 0x000001fdf2c96988
2025-02-24 16:20 [DEBUG] Station #12 name/type: Unknown
2025-02-24 16:20 [DEBUG] Station #12 fillTypePrices (before):
2025-02-24 16:20 [DEBUG]   - FillType CEMENT: 1.05
2025-02-24 16:20 [DEBUG]   - FillType WOODBEAM: 2.91
2025-02-24 16:20 [DEBUG]   - FillType PLANKS: 1.94
2025-02-24 16:20 [DEBUG]   - FillType BOARDS: 1.30
2025-02-24 16:20 [DEBUG] Station #12 fillTypePrices (after):
2025-02-24 16:20 [DEBUG]   - FillType CEMENT: 1.05
2025-02-24 16:20 [DEBUG]   - FillType WOODBEAM: 2.91
2025-02-24 16:20 [DEBUG]   - FillType PLANKS: 1.94
2025-02-24 16:20 [DEBUG]   - FillType BOARDS: 1.30
2025-02-24 16:20 [DEBUG] Station #12 acceptedFillTypes:
2025-02-24 16:20 [DEBUG]   - FillType CEMENT: true
2025-02-24 16:20 [DEBUG]   - FillType WOODBEAM: true
2025-02-24 16:20 [DEBUG]   - FillType PLANKS: true
2025-02-24 16:20 [DEBUG]   - FillType BOARDS: true
2025-02-24 16:20 [DEBUG] Selling station #13: table: 0x000001fdf2e644e8
2025-02-24 16:20 [DEBUG] Station #13 name/type: Unknown
2025-02-24 16:20 [DEBUG] Station #13 fillTypePrices (before):
2025-02-24 16:20 [DEBUG]   - FillType CEMENT: 1.05
2025-02-24 16:20 [DEBUG]   - FillType WOODBEAM: 2.91
2025-02-24 16:20 [DEBUG]   - FillType PLANKS: 1.94
2025-02-24 16:20 [DEBUG]   - FillType BOARDS: 1.30
2025-02-24 16:20 [DEBUG] Station #13 fillTypePrices (after):
2025-02-24 16:20 [DEBUG]   - FillType CEMENT: 1.05
2025-02-24 16:20 [DEBUG]   - FillType WOODBEAM: 2.91
2025-02-24 16:20 [DEBUG]   - FillType PLANKS: 1.94
2025-02-24 16:20 [DEBUG]   - FillType BOARDS: 1.30
2025-02-24 16:20 [DEBUG] Station #13 acceptedFillTypes:
2025-02-24 16:20 [DEBUG]   - FillType CEMENT: true
2025-02-24 16:20 [DEBUG]   - FillType WOODBEAM: true
2025-02-24 16:20 [DEBUG]   - FillType PLANKS: true
2025-02-24 16:20 [DEBUG]   - FillType BOARDS: true
2025-02-24 16:20 [DEBUG] Selling station #14: table: 0x000001fe2006bd98
2025-02-24 16:20 [DEBUG] Station #14 name/type: Unknown
2025-02-24 16:20 [DEBUG] Station #14 fillTypePrices (before):
2025-02-24 16:20 [DEBUG]   - FillType SILAGE: 0.12
2025-02-24 16:20 [DEBUG]   - FillType MANURE: 0.03
2025-02-24 16:20 [DEBUG]   - FillType SUGARBEET_CUT: 0.22
2025-02-24 16:20 [DEBUG]   - FillType LIQUIDMANURE: 0.03
2025-02-24 16:20 [DEBUG] Station #14 fillTypePrices (after):
2025-02-24 16:20 [DEBUG]   - FillType SILAGE: 0.12
2025-02-24 16:20 [DEBUG]   - FillType MANURE: 0.03
2025-02-24 16:20 [DEBUG]   - FillType SUGARBEET_CUT: 0.22
2025-02-24 16:20 [DEBUG]   - FillType LIQUIDMANURE: 0.03
2025-02-24 16:20 [DEBUG] Station #14 acceptedFillTypes:
2025-02-24 16:20 [DEBUG]   - FillType SILAGE: true
2025-02-24 16:20 [DEBUG]   - FillType MANURE: true
2025-02-24 16:20 [DEBUG]   - FillType SUGARBEET_CUT: true
2025-02-24 16:20 [DEBUG]   - FillType LIQUIDMANURE: true
2025-02-24 16:20 [DEBUG] Selling station #15: table: 0x000001fe200e3078
2025-02-24 16:20 [DEBUG] Station #15 name/type: Unknown
2025-02-24 16:20 [DEBUG] Station #15 fillTypePrices (before):
2025-02-24 16:20 [DEBUG]   - FillType RICEFLOUR: 0.91
2025-02-24 16:20 [DEBUG]   - FillType EGG: 1.12
2025-02-24 16:20 [DEBUG]   - FillType MILK_BOTTLED: 0.58
2025-02-24 16:20 [DEBUG]   - FillType STRAWBERRY: 0.45
2025-02-24 16:20 [DEBUG]   - FillType BUTTER: 1.12
2025-02-24 16:20 [DEBUG]   - FillType SUGAR: 0.50
2025-02-24 16:20 [DEBUG]   - FillType FLOUR: 0.69
2025-02-24 16:20 [DEBUG] Station #15 fillTypePrices (after):
2025-02-24 16:20 [DEBUG]   - FillType RICEFLOUR: 0.91
2025-02-24 16:20 [DEBUG]   - FillType EGG: 1.12
2025-02-24 16:20 [DEBUG]   - FillType MILK_BOTTLED: 0.58
2025-02-24 16:20 [DEBUG]   - FillType STRAWBERRY: 0.45
2025-02-24 16:20 [DEBUG]   - FillType BUTTER: 1.12
2025-02-24 16:20 [DEBUG]   - FillType SUGAR: 0.50
2025-02-24 16:20 [DEBUG]   - FillType FLOUR: 0.69
2025-02-24 16:20 [DEBUG] Station #15 acceptedFillTypes:
2025-02-24 16:20 [DEBUG]   - FillType RICEFLOUR: true
2025-02-24 16:20 [DEBUG]   - FillType EGG: true
2025-02-24 16:20 [DEBUG]   - FillType MILK_BOTTLED: true
2025-02-24 16:20 [DEBUG]   - FillType STRAWBERRY: true
2025-02-24 16:20 [DEBUG]   - FillType BUTTER: true
2025-02-24 16:20 [DEBUG]   - FillType SUGAR: true
2025-02-24 16:20 [DEBUG]   - FillType FLOUR: true
2025-02-24 16:20 [DEBUG] Selling station #16: table: 0x000001fe20495b18
